estado,cod_mun6,municipio,casos_acumulados,pop_pessoa_ano,pop_media,incidencia_media_anual,incidencia_mediana_anual,incidencia_max_anual,anos_com_casos,anos_zero,incidencia_periodo_100mil_pessoa_ano,log_casos_acumulados_mais1,log_inc_periodo_mais1
RJ,330115,CARDOSO MOREIRA,53,407334,16972.25,13.258277140861232,11.569903713088074,38.73216706474727,19,5,13.011435333166395,3.9889840465642745,2.639873805719796
RJ,330120,CARMO,174,876302,36512.583333333336,20.978525845217373,20.10313619121945,54.93211959507181,24,0,19.856168307273062,5.1647859739235145,3.0376497465676193
RJ,330130,CASIMIRO DE ABREU,273,200352,8348.0,136.43249249570965,110.05844194666984,401.2539184952978,24,0,136.26018207954002,5.6131281063880705,4.921878264009844
RJ,330140,CONCEICAO DE MACABU,208,497976,20749.0,42.256976270458196,33.382254232366876,126.23606143488324,24,0,41.76908124086302,5.342334251964811,3.755815440616062
RJ,330150,CORDEIRO,156,485936,20247.333333333332,32.28879433536194,28.608626284563634,73.86693399461826,24,0,32.10299298673076,5.056245805348308,3.4996237008549858
RJ,330160,DUAS BARRAS,85,260596,10858.166666666666,32.726869545178864,32.704025758372644,65.86375611592021,21,3,32.6175382584537,4.454347296253507,3.5150479027669603
RJ,330170,DUQUE DE CAXIAS,22001,19841999,826749.9583333334,110.97354471982958,114.59413589514787,149.53963247219278,24,0,110.88096516888243,9.99888863729938,4.717435495118879
RJ,330180,ENGENHEIRO PAULO DE FRONTIN,138,304851,12702.125,44.99167285465435,39.15545488090233,159.68367424530453,24,0,45.26801617839535,4.9344739331306915,3.83445092710015
RJ,330185,GUAPIMIRIM,609,1177019,49042.458333333336,51.97868088254962,49.53151065468954,79.32769776147153,24,0,51.74088098832729,6.413458957167357,3.9653908851528463
RJ,330187,IGUABA GRANDE,220,555456,23144.0,40.09264843600638,41.78221719906381,69.58942240779402,24,0,39.60709759188847,5.3981627015177525,3.703942868863081
RJ,330190,ITABORAI,3552,5167694,215320.58333333334,69.0874757559141,65.3612385085187,100.9061770408769,24,0,68.73471997374457,8.175547596021026,4.244698328225691
RJ,330200,ITAGUAI,1730,2565981,106915.875,68.13324219703065,65.0694080527287,103.10866705381797,24,0,67.42060833653873,7.456454555176209,4.225674070719209
RJ,330205,ITALVA,109,331644,13818.5,33.281971677403874,29.541877058862166,69.78367062107466,24,0,32.86656776543522,4.700480365792417,3.5224283261600555
RJ,330210,ITAOCARA,135,551300,22970.833333333332,24.463500697211696,21.83167785808535,52.38573361854454,24,0,24.487574823145295,4.912654885736052,3.238191071576315
RJ,330220,ITAPERUNA,1382,2311651,96318.79166666667,60.0896779016158,56.77385367291709,90.42408897730355,24,0,59.78411100983669,7.232010331664759,4.1073284227438895
RJ,330225,ITATIAIA,269,692697,28862.375,38.21962256809923,35.30273463780253,83.81667616588997,24,0,38.83371806143234,5.598421958998375,3.6847137411028132
RJ,330227,JAPERI,2727,2251014,93792.25,121.15914690880906,104.02584702980053,288.7316361785634,24,0,121.14540380468534,7.911324018963353,4.805212169527013
