estado,cod_mun6,municipio,periodo,casos_total,pop_pessoa_ano,incidencia_media_anual,incidencia_mediana_anual,incidencia_periodo_100mil_pessoa_ano,log_inc_periodo_mais1
SP,353920,PIRAPOZINHO,2016–2019,16,100403,15.942420672647362,15.935790161507196,15.935778811390099,2.8294284734845303
SP,353920,PIRAPOZINHO,2020–2024,35,127648,27.42556706045658,26.855937080375984,27.419152669842067,3.347063307651728
SP,353930,PIRASSUNUNGA,2001–2005,136,331955,40.99094451124157,45.54079696394687,40.969408504164726,3.7369409839453716
SP,353930,PIRASSUNUNGA,2006–2010,111,345046,32.170979961623374,29.96532583724547,32.169623760310216,3.5016345101243633
SP,353930,PIRASSUNUNGA,2011–2015,119,354662,33.58361388370783,39.31645534071921,33.553073066750876,3.542496491750329
SP,353930,PIRASSUNUNGA,2016–2019,88,288908,30.460127787645032,29.888986972710455,30.459523446910435,3.448701749610456
SP,353930,PIRASSUNUNGA,2020–2024,91,369730,24.587126150227476,21.931026920335544,24.61255510778135,3.243082665159828
SP,353940,PIRATININGA,2001–2005,3,55060,5.498336734001597,8.96378630333453,5.448601525608427,1.8638632895641902
SP,353940,PIRATININGA,2006–2010,1,58803,1.678697330871244,0.0,1.7005935071339897,0.9934715663109993
SP,353940,PIRATININGA,2011–2015,9,63864,14.159269523385495,8.130081300813009,14.092446448703495,2.7141943834763183
SP,353940,PIRATININGA,2016–2019,10,55568,18.138960485529516,17.902002891509774,17.995968902965735,2.9442267936548836
SP,353940,PIRATININGA,2020–2024,15,75373,19.880755535572025,19.287643050019287,19.901025566184178,3.039798227919218
SP,353950,PITANGUEIRAS,2001–2005,28,161761,17.422667199529414,21.371435549856507,17.309487453712578,2.907419365597324
SP,353950,PITANGUEIRAS,2006–2010,32,172201,18.5513803595815,11.910433539780847,18.582935058449138,2.974658526708455
SP,353950,PITANGUEIRAS,2011–2015,44,174459,25.22838452336331,25.998786723286244,25.22082552347543,3.266553962335558
SP,353950,PITANGUEIRAS,2016–2019,41,137111,29.92494054793716,32.09114625146108,29.902779499821314,3.4308461313088388
SP,353950,PITANGUEIRAS,2020–2024,42,169881,24.709457555312557,29.374614458185235,24.72318858495064,3.247392864661712
SP,353960,PLANALTO,2001–2005,5,19467,26.512102815542185,0.0,25.68449170390918,3.284082561596592
SP,353960,PLANALTO,2006–2010,0,21468,0.0,0.0,0.0,0.0
SP,353960,PLANALTO,2011–2015,4,22222,18.012992174947662,22.5022502250225,18.000180001800018,2.944448452900513
SP,353960,PLANALTO,2016–2019,6,17667,33.971370508074614,33.90598131567271,33.96162336559688,3.5542509846519685
SP,353960,PLANALTO,2020–2024,7,22060,31.769284068037127,22.451728783116298,31.731640979147777,3.4883422241077238
SP,353970,PLATINA,2001–2005,1,14806,6.611570247933885,0.0,6.754018641091449,2.0482112433071644
SP,353970,PLATINA,2006–2010,1,15623,6.402048655569781,0.0,6.400819304871024,2.001590710955926
SP,353970,PLATINA,2011–2015,1,15747,6.408202499198974,0.0,6.350415952244872,1.9947569037656299
SP,353970,PLATINA,2016–2019,2,12346,16.236714049716454,16.16553507921112,16.199578810950914,2.844884895784166
SP,353970,PLATINA,2020–2024,7,15220,46.027417083393026,32.765399737876805,45.992115637319316,3.84997983524059
SP,353980,POA,2001–2005,248,493835,50.31787205384177,48.604149579270334,50.21920277015603,3.9361145158348623
SP,353980,POA,2006–2010,172,519489,33.05426472052204,33.06106573317775,33.10945948807386,3.5295747501623427
SP,353980,POA,2011–2015,177,527233,33.56391555405629,33.13295782647796,33.57149495574063,3.543029497306903
SP,353980,POA,2016–2019,155,418410,37.05261438027253,39.74380248559955,37.045003704500374,3.6387697670000247
SP,353980,POA,2020–2024,248,523372,47.34611562189208,47.0538526542214,47.38503397201226,3.8791905504513378
SP,353990,POLONI,2001–2005,5,24765,20.293305281707912,0.0,20.189783969311527,3.0535191772924923
SP,353990,POLONI,2006–2010,0,26327,0.0,0.0,0.0,0.0
SP,353990,POLONI,2011–2015,2,27218,7.304601899196494,0.0,7.34807847747814,2.1220313899228205
SP,353990,POLONI,2016–2019,4,22070,18.151529620450525,18.098071074143363,18.124150430448573,2.9509519567885865
SP,353990,POLONI,2020–2024,3,28066,10.772657275359233,0.0,10.689090002137819,2.4586559283254643
SP,354000,POMPEIA,2001–2005,5,93464,5.411145222280697,5.2999788000848,5.349653342463409,1.8484002196763711
SP,354000,POMPEIA,2006–2010,9,97967,9.206908512849372,5.056378621631188,9.18676697255198,2.3210895223636663
SP,354000,POMPEIA,2011–2015,13,100108,12.995672225125457,9.979541939025,12.985975146841412,2.63805505227748
SP,354000,POMPEIA,2016–2019,12,80435,14.921190232111657,14.906844746471991,14.918878597625413,2.7675057380875843
SP,354000,POMPEIA,2020–2024,15,101395,14.807678072265947,14.739841792364762,14.793628877163568,2.7596066230890166
SP,354010,PONGAI,2001–2005,0,18141,0.0,0.0,0.0,0.0
SP,354010,PONGAI,2006–2010,2,17612,11.42204454597373,0.0,11.355893708834886,2.5141331726265608
SP,354010,PONGAI,2011–2015,2,17297,11.587485515643106,0.0,11.562698733884488,2.530732005306861
SP,354010,PONGAI,2016–2019,1,13708,7.286505392013991,0.0,7.295010213014297,2.115654154867002
SP,354010,PONGAI,2020–2024,5,17068,29.318901901099558,29.394473838918284,29.29458636044059,3.410969028580042
SP,354020,PONTAL,2001–2005,33,162749,20.368996353992905,19.608483937383575,20.276622283393447,3.0576089245907925
SP,354020,PONTAL,2006–2010,46,189509,24.299962607910807,20.493378077208803,24.273253513025765,3.2297466631333362
SP,354020,PONTAL,2011–2015,51,197845,25.791035165377373,27.80024262029923,25.777755313502997,3.287571517239258
SP,354020,PONTAL,2016–2019,69,154303,44.79385253606745,53.13998920970582,44.71721223825849,3.822474862401317
SP,354020,PONTAL,2020–2024,107,189827,56.35005214660538,53.18158853404951,56.36711321361029,4.04947119860294
SP,354025,PONTALINDA,2001–2005,8,18462,44.116418390412875,27.085590465872155,43.33225002708265,3.791712403775754
SP,354025,PONTALINDA,2006–2010,4,19809,19.987918027223266,25.246149962130776,20.192841637639457,3.0536634660565527
SP,354025,PONTALINDA,2011–2015,2,20436,9.802723934465769,0.0,9.786651008025053,2.3783093518547234
SP,354025,PONTALINDA,2016–2019,4,16428,24.35463983115012,24.34874373050974,24.348672997321646,3.2327263814213327
SP,354025,PONTALINDA,2020–2024,6,20725,28.84293422206121,24.25418384671356,28.950542822677924,3.39954744869364
SP,354030,PONTES GESTAL,2001–2005,1,12664,7.883326763894362,0.0,7.896399241945672,2.185646615317038
SP,354030,PONTES GESTAL,2006–2010,0,12610,0.0,0.0,0.0,0.0
SP,354030,PONTES GESTAL,2011–2015,1,12425,8.120178643930167,0.0,8.048289738430585,2.202575760674079
SP,354030,PONTES GESTAL,2016–2019,2,9742,20.576553330785117,20.48340843916428,20.529665366454527,3.0694317685919685
SP,354030,PONTES GESTAL,2020–2024,2,12009,16.63551039779937,0.0,16.654176034640685,2.870972357922559
SP,354040,POPULINA,2001–2005,0,21905,0.0,0.0,0.0,0.0
SP,354040,POPULINA,2006–2010,0,21337,0.0,0.0,0.0,0.0
SP,354040,POPULINA,2011–2015,1,20995,4.781257470714798,0.0,4.763038818766373,1.7514649082927445
SP,354040,POPULINA,2016–2019,4,16652,24.032745573587793,24.067410993587874,24.02113860196973,3.2197210116759734
SP,354040,POPULINA,2020–2024,2,20746,9.673554951319034,0.0,9.640412609659693,2.364659262264963
SP,354050,PORANGABA,2001–2005,5,35594,13.937966366541854,14.374011786689664,14.04731134460864,2.711199327036633
SP,354050,PORANGABA,2006–2010,1,39822,2.5693730729701953,0.0,2.511174727537542,1.2559506616949716
SP,354050,PORANGABA,2011–2015,4,44079,9.256378229561863,0.0,9.074616030309217,2.310018995970937
SP,354050,PORANGABA,2016–2019,5,38397,13.200000439328246,15.679589214848601,13.02185066541657,2.6406168747078507
SP,354050,PORANGABA,2020–2024,7,52152,13.296887943360076,18.5649308456326,13.4223040343611,2.668775899562133
SP,354060,PORTO FELIZ,2001–2005,63,232524,27.127695026619527,27.558137069934073,27.093977395881716,3.3355552258195753
SP,354060,PORTO FELIZ,2006–2010,37,241001,15.360118482180496,16.362260446280654,15.35263339156269,2.7943889480780366
SP,354060,PORTO FELIZ,2011–2015,72,253498,28.378575057975706,25.95587501247879,28.402590947463096,3.38108279792637
SP,354060,PORTO FELIZ,2016–2019,169,214084,79.12138297241097,77.57636810027262,78.94097643915472,4.381288567859001
SP,354060,PORTO FELIZ,2020–2024,150,283229,52.78622681971201,48.768593026091196,52.960678461598214,3.9882556046778235
SP,354070,PORTO FERREIRA,2001–2005,92,242979,37.93078917147277,40.82965866405357,37.86335444626902,3.6600517615380035
SP,354070,PORTO FERREIRA,2006–2010,57,252926,22.551750895837642,23.72385433553438,22.536235895083937,3.158541186543556
SP,354070,PORTO FERREIRA,2011–2015,49,258548,18.971503145219277,21.27289253321472,18.951993440289616,2.9933290601630484
SP,354070,PORTO FERREIRA,2016–2019,34,208709,16.291661897395777,15.347782919584814,16.290624745458988,2.8501644323830067
SP,354070,PORTO FERREIRA,2020–2024,41,264863,15.477643870063611,15.22533495736906,15.479700826465004,2.802129370582625
SP,354075,POTIM,2001–2005,10,75757,12.767413777832205,12.755915555839021,13.200100320762438,2.653249029424684
SP,354075,POTIM,2006–2010,251,90457,274.0319895319547,267.36379300101004,277.4799075803973,5.62934591163153
SP,354075,POTIM,2011–2015,365,98207,372.0721103496051,402.2198462400081,371.6639343427658,5.920677033202791
SP,354075,POTIM,2016–2019,283,80053,353.71947647994705,340.5748832705234,353.51579578529226,5.870752902906989
SP,354075,POTIM,2020–2024,246,102268,241.08125345037442,220.67477442134174,240.54445183244025,5.4870535217134
SP,354080,POTIRENDABA,2001–2005,3,70866,4.14789228906785,0.0,4.233341800016933,1.6550500415224745
SP,354080,POTIRENDABA,2006–2010,8,75374,10.551421610142603,6.800408024481469,10.613739485764322,2.452188835646472
SP,354080,POTIRENDABA,2011–2015,10,80818,12.323324688687576,12.753475322025253,12.3734811551882,2.593273727843215
SP,354080,POTIRENDABA,2016–2019,8,69164,11.439420674297732,11.397125980319444,11.566711005725523,2.5310513340867016
SP,354080,POTIRENDABA,2020–2024,14,92403,15.243312921928242,11.142682043567886,15.151023235176346,2.7819834058768724
SP,354085,PRACINHA,2001–2005,2,8846,19.782393669634025,0.0,22.609088853719197,3.1616317588118426
SP,354085,PRACINHA,2006–2010,48,12503,385.78874394022375,349.89503149055287,383.90786211309285,5.953003986459606
SP,354085,PRACINHA,2011–2015,78,13927,563.1724070867264,498.3980064079744,560.0631866159259,6.329833531294126
SP,354085,PRACINHA,2016–2019,83,10718,772.5215368809747,637.5519040925468,774.3982086210113,6.653376714969795
SP,354085,PRACINHA,2020–2024,66,12988,508.04875267685446,571.8642775447961,508.16137973514014,6.232765018824826
SP,354090,PRADOPOLIS,2001–2005,8,70638,11.303816806868356,13.352026169971294,11.325348962314902,2.5116580329003435
SP,354090,PRADOPOLIS,2006–2010,8,81948,9.960416563434118,11.856067342462506,9.76228828037292,2.3760481975857117
SP,354090,PRADOPOLIS,2011–2015,2,86510,2.3102132681294,0.0,2.311871459946827,1.197513425367342
SP,354090,PRADOPOLIS,2016–2019,2,68758,2.910875351616525,2.9066387629345423,2.908752436080165,1.36321825302737
SP,354090,PRADOPOLIS,2020–2024,12,85810,13.994333653747436,11.632641191182458,13.984384104416735,2.707008599117608
SP,354100,PRAIA GRANDE,2001–2005,886,1060937,83.54120856815335,84.8022021933135,83.51108501258793,4.436882709340237
SP,354100,PRAIA GRANDE,2006–2010,1154,1234383,93.35440098270405,93.60909011128616,93.48800169801432,4.548472860280233
SP,354100,PRAIA GRANDE,2011–2015,1420,1409316,100.77003562329732,100.58001139906796,100.7580982547562,4.622598410882944
SP,354100,PRAIA GRANDE,2016–2019,1381,1256331,109.61640179557996,103.66390083876756,109.92326066936182,4.708838616901891
SP,354100,PRAIA GRANDE,2020–2024,1941,1748253,110.71691023444968,111.16350179319015,111.0251205060137,4.718723136378066
SP,354105,PRATANIA,2001–2005,4,20677,19.42622589622469,24.55795677799607,19.345166126614114,3.0128433468965565
SP,354105,PRATANIA,2006–2010,1,22311,4.348771472059143,0.0,4.482094034332841,1.701487151022942
SP,354105,PRATANIA,2011–2015,2,23629,8.580182676727123,0.0,8.464175377713826,2.2475136575392387
SP,354105,PRATANIA,2016–2019,7,19687,35.72117656751979,40.823859564923225,35.55645857672575,3.5988578758308294
SP,354105,PRATANIA,2020–2024,2,25672,7.714106238385517,0.0,7.790588968526021,2.1736817138353297
SP,354110,PRESIDENTE ALVES,2001–2005,1,21289,4.740459824602986,0.0,4.697261496547513,1.7399856201904216
SP,354110,PRESIDENTE ALVES,2006–2010,0,20806,0.0,0.0,0.0,0.0
SP,354110,PRESIDENTE ALVES,2011–2015,4,20205,19.79928975070224,24.582104228121928,19.79707993071022,3.034812588905338
SP,354110,PRESIDENTE ALVES,2016–2019,0,15682,0.0,0.0,0.0,0.0
SP,354110,PRESIDENTE ALVES,2020–2024,7,19152,36.677311291630666,26.164311878597594,36.54970760233918,3.6256655912913884
SP,354120,PRESIDENTE BERNARDES,2001–2005,11,71631,15.391469243348308,7.034822370735139,15.356479736426966,2.794624132986105
SP,354120,PRESIDENTE BERNARDES,2006–2010,58,68913,83.9146806633267,100.02143316424949,84.16409095526244,4.444579877331573
SP,354120,PRESIDENTE BERNARDES,2011–2015,185,68973,267.28389456134056,318.9792663476874,268.22089803256347,5.595532224893333
SP,354120,PRESIDENTE BERNARDES,2016–2019,219,56552,387.72630686284504,361.6479115381992,387.254208516056,5.961660301676567
SP,354120,PRESIDENTE BERNARDES,2020–2024,153,72635,210.5849245518444,223.27658386826684,210.64225235767879,5.354897360379976
SP,354130,PRESIDENTE EPITACIO,2001–2005,52,199471,26.034878203070292,27.573759807485025,26.068952379042567,3.2983874024356057
SP,354130,PRESIDENTE EPITACIO,2006–2010,40,204534,19.569897202361666,19.459512052735278,19.556650727996324,3.0231845249821285
SP,354130,PRESIDENTE EPITACIO,2011–2015,52,204289,25.421884650844525,26.822726164350158,25.4541360523572,3.27541251856928
SP,354130,PRESIDENTE EPITACIO,2016–2019,36,160703,22.399625141434925,22.402136312683638,22.40157308824353,3.1528032460974034
SP,354130,PRESIDENTE EPITACIO,2020–2024,58,199285,29.09529447738065,24.76289527771587,29.10404696791028,3.4046596134782754
SP,354140,PRESIDENTE PRUDENTE,2001–2005,422,972757,43.427423770424056,40.87110967585678,43.38185178826778,3.7928306423722993
SP,354140,PRESIDENTE PRUDENTE,2006–2010,411,1019023,40.336899909999644,40.9421511487886,40.33275009494388,3.721655166231175
SP,354140,PRESIDENTE PRUDENTE,2011–2015,426,1059973,40.23478327840571,39.22356475236537,40.189702945263704,3.718188296605128
SP,354140,PRESIDENTE PRUDENTE,2016–2019,417,874903,47.64833719939589,52.817473672629504,47.662426577574884,3.884907204126289
SP,354140,PRESIDENTE PRUDENTE,2020–2024,405,1136246,35.60684527576116,36.31190646052896,35.6436898347717,3.6012412398329925
SP,354150,PRESIDENTE VENCESLAU,2001–2005,29,187575,15.46452451358412,16.041493997807663,15.460482473677196,2.8009625067073824
SP,354150,PRESIDENTE VENCESLAU,2006–2010,76,188984,40.21200177633502,47.4808757583751,40.215044659865384,3.7188033513474106
SP,354150,PRESIDENTE VENCESLAU,2011–2015,81,186077,43.53382560823805,45.12036520954429,43.530366461196174,3.7961713488348074
SP,354150,PRESIDENTE VENCESLAU,2016–2019,74,144777,51.05985698168725,55.14039385878559,51.113091167795986,3.9534161872115763
SP,354150,PRESIDENTE VENCESLAU,2020–2024,63,177711,35.42958846344938,36.20968191187121,35.450816212839946,3.595963850874461
SP,354160,PROMISSAO,2001–2005,51,162083,31.61272591222566,27.018102128426047,31.465360340072674,3.48017368523884
SP,354160,PROMISSAO,2006–2010,29,173579,16.682729927400413,14.209389564624303,16.70709014339292,2.873965132444855
SP,354160,PROMISSAO,2011–2015,47,177687,26.471871419762596,19.67231543152629,26.451006545217155,3.3124028355971955
SP,354160,PROMISSAO,2016–2019,28,141334,19.822979680793654,21.230829143802808,19.811227305531578,3.0354926153859263
SP,354160,PROMISSAO,2020–2024,23,177077,12.949605143823172,14.196076204537066,12.988699831146901,2.638249848772256
SP,354165,QUADRA,2001–2005,0,14077,0.0,0.0,0.0,0.0
SP,354165,QUADRA,2006–2010,0,15553,0.0,0.0,0.0,0.0
SP,354165,QUADRA,2011–2015,0,16387,0.0,0.0,0.0,0.0
SP,354165,QUADRA,2016–2019,1,13363,7.498500299940011,0.0,7.483349547257353,2.1381053655946527
SP,354165,QUADRA,2020–2024,3,17082,17.55884193664894,0.0,17.562346329469616,2.9211351379815595
SP,354170,QUATA,2001–2005,11,59941,18.447964772441225,16.999575010624735,18.351378855874945,2.962763675638558
SP,354170,QUATA,2006–2010,7,62814,11.160532356162026,7.8131103992499416,11.144012481293979,2.4968362484272832
SP,354170,QUATA,2011–2015,9,64445,13.96913479613779,15.481074386562428,13.965396850027155,2.705740659498134
SP,354170,QUATA,2016–2019,8,52102,15.34580172451831,15.390555327240277,15.354496948293733,2.794502902235047
SP,354170,QUATA,2020–2024,7,66076,10.590185493924954,7.597052343690648,10.593861613899145,2.4504757868362277
