estado,origem,destino
SP,350020,352950
SP,350020,351720
SP,350020,354160
SP,350030,351080
SP,350030,352670
SP,350030,354630
SP,350030,353930
SP,350030,355640
SP,350030,353070
SP,350030,354910
SP,350030,351518
SP,350040,355640
SP,350040,355080
SP,350040,354910
SP,350050,352260
SP,350050,355210
SP,350050,352700
SP,350055,352860
SP,350055,353380
SP,350055,351925
SP,350055,354640
SP,350055,351140
SP,350055,350070
SP,350060,355040
SP,350070,350055
SP,350070,352680
SP,350070,353670
SP,350070,350745
SP,350070,353940
SP,350070,351925
SP,350070,351519
SP,350070,353657
SP,350070,350600
SP,350070,354640
SP,350075,355400
SP,350075,352230
SP,350075,351030
SP,350075,355110
SP,350080,354120
SP,350080,354140
SP,350080,354830
SP,350080,350130
SP,350090,351750
SP,350090,351980
SP,350090,351790
SP,350090,353400
SP,350090,353390
SP,350090,353300
SP,350100,353630
SP,350100,355150
SP,350100,354625
SP,350100,350940
SP,350100,355140
SP,350100,350780
SP,350100,354790
SP,350100,350590
SP,350110,351700
SP,350110,350770
SP,350110,353730
SP,350110,350440
SP,350110,352770
SP,350110,354160
SP,350115,355220
SP,350115,355700
SP,350115,352840
SP,350115,351970
SP,350120,353690
SP,350120,353625
SP,350120,351070
SP,350120,354030
SP,350120,350180
SP,350120,351290
SP,350120,355710
SP,350130,354120
SP,350130,353920
SP,350130,354140
SP,350130,350080
SP,350130,355390
SP,350140,355660
SP,350140,353890
SP,350140,351670
SP,350140,352580
SP,350140,352900
SP,350140,351810
SP,350150,351670
SP,350150,351660
SP,350150,352780
SP,350150,355550
SP,350150,355050
SP,350160,352690
SP,350160,353340
SP,350160,354580
SP,350160,353650
SP,350160,351280
SP,350170,354890
SP,350170,350320
SP,350170,354370
SP,350170,354690
SP,350180,351290
SP,350180,350120
SP,350180,354030
SP,350180,353500
SP,350190,353710
SP,350190,355160
SP,350190,355495
SP,350190,352260
SP,350190,354800
SP,350190,353200
SP,350190,353120
SP,350200,351270
SP,350200,353930
SP,350200,354890
SP,350200,352360
SP,350200,351370
SP,350200,354620
SP,350210,353740
SP,350210,351780
SP,350210,352300
SP,350210,351100
