id,name,description,cod_mun6,municipio_geo,estado,municipio,casos_acumulados,pop_pessoa_ano,pop_media,incidencia_media_anual,incidencia_mediana_anual,incidencia_max_anual,anos_com_casos,anos_zero,incidencia_periodo_100mil_pessoa_ano,log_casos_acumulados_mais1,log_inc_periodo_mais1,gi_z,gi_p,classe_gi,estado_analise,contexto_analise,variavel_analise
3524709,Jaguariúna,Jaguariúna,352470,JAGUARIUNA,SP,JAGUARIUNA,279,1119485,46645.208333333336,25.928269767783586,27.376737451003464,41.90863916661677,24,0,24.922174035382344,5.634789603169249,3.2550987427886273,-0.13774692258248408,0.475,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3524808,Jales,Jales,352480,JALES,SP,JALES,235,1141349,47556.208333333336,20.643692329480153,19.952101896377524,39.921837244973,24,0,20.589670644123753,5.4638318050256105,3.072214989390614,-0.226678388362463,0.202,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3524907,Jambeiro,Jambeiro,352490,JAMBEIRO,SP,JAMBEIRO,3,130931,5455.458333333333,1.9011406844106464,0.0,45.627376425855516,1,23,2.291283194965287,1.3862943611198906,1.1912775176006234,-0.2349057719338391,0.355,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3525003,Jandira,Jandira,352500,JANDIRA,SP,JANDIRA,733,2611111,108796.29166666667,27.244289868307987,31.551805786491045,46.725907466308165,20,4,28.072341620099643,6.598509028614515,3.369787262413739,0.15607214442299522,0.164,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3525102,Jardinópolis,Jardinópolis,352510,JARDINOPOLIS,SP,JARDINOPOLIS,359,937265,39052.708333333336,35.40625196119913,17.515965172239504,95.51098376313276,24,0,38.30293460227364,5.886104031450156,3.671299187900993,-0.1386982041389207,0.414,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3525201,Jarinu,Jarinu,352520,JARINU,SP,JARINU,164,653004,27208.5,24.650200710497185,22.97901850965089,49.380006584000874,24,0,25.114700675646702,5.10594547390058,3.262498400043778,-0.08011071167348019,0.369,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3525300,Jaú,Jaú,352530,JAU,SP,JAU,780,3083876,128494.83333333333,25.172442773391182,24.44848311863204,36.40390128475435,24,0,25.292845756444162,6.660575149839686,3.269296877708548,-0.25380249549067324,0.091,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3525409,Jeriquara,Jeriquara,352540,JERIQUARA,SP,JERIQUARA,4,82383,3432.625,4.650222688339051,0.0,30.09328919650918,4,20,4.855370646856755,1.6094379124341003,1.7673592993768326,-0.42570108460539774,0.001,Cold spot,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3525508,Joanópolis,Joanópolis,352550,JOANOPOLIS,SP,JOANOPOLIS,29,285408,11892.0,10.275113348060147,7.94436853642668,49.91265285749938,13,11,10.160892476735059,3.4011973816621555,2.4124159247892596,-0.25923396754400946,0.309,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3525607,João Ramalho,João Ramalho,352560,JOAO RAMALHO,SP,JOAO RAMALHO,6,100188,4174.5,6.038382104018539,0.0,25.4323499491353,6,18,5.988741166606779,1.9459101490553132,1.9443004494132623,-0.13161631337299676,0.328,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3525706,José Bonifácio,José Bonifácio,352570,JOSE BONIFACIO,SP,JOSE BONIFACIO,129,801952,33414.666666666664,15.742973008359412,13.387769247704664,49.13602489558594,24,0,16.08575076812577,4.867534450455582,2.8382448277171357,-0.24477134577393078,0.138,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3525805,Júlio Mesquita,Júlio Mesquita,352580,JULIO MESQUITA,SP,JULIO MESQUITA,19,103697,4320.708333333333,18.40487998254794,22.904380349951232,47.01457451810061,15,9,18.322612997483052,2.995732273553991,2.9612760679560712,0.7117884040190172,0.049,Hot spot,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3525854,Jumirim,Jumirim,352585,JUMIRIM,SP,JUMIRIM,7,66593,2774.7083333333335,10.369266107987642,0.0,107.21944245889921,5,19,10.511615334945114,2.0794415416798357,2.4433565547586524,-0.19937675261378254,0.427,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
3525904,Jundiaí,Jundiaí,352590,JUNDIAI,SP,JUNDIAI,3370,9301330,387555.4166666667,36.86471546999534,36.209102229721694,54.60796666168382,24,0,36.2313776631944,8.12296471523406,3.617151891314801,-0.027468796043592154,0.372,Não significativo,SP,2001–2024,incidencia_periodo_100mil_pessoa_ano
