estado,cod_mun6,municipio,casos_acumulados,pop_pessoa_ano,pop_media,incidencia_media_anual,incidencia_mediana_anual,incidencia_max_anual,anos_com_casos,anos_zero,incidencia_periodo_100mil_pessoa_ano,log_casos_acumulados_mais1,log_inc_periodo_mais1,inc_raw,inc_eb_global,inc_eb_spatial,reducao_%
RJ,330010,ANGRA DOS REIS,2661,3827302,159470.91666666666,70.32065769569473,69.08778598949047,110.9168043006574,24,0,69.52678414193602,7.886832998955056,4.255992554574962,69.52678414193602,69.56070484175933,69.46392558619075,-0.09040912293159153
RJ,330190,ITABORAI,3552,5167694,215320.5833333333,69.0874757559141,65.3612385085187,100.9061770408769,24,0,68.73471997374457,8.175547596021026,4.244698328225691,68.73471997374457,68.76075332380626,68.58183649340927,-0.22242540653937878
RJ,330200,ITAGUAI,1730,2565981,106915.875,68.13324219703065,65.0694080527287,103.10866705381795,24,0,67.42060833653873,7.456454555176209,4.225674070719209,67.42060833653873,67.47598408144412,68.44766456858096,1.523356518700547
RJ,330630,VOLTA REDONDA,4051,6174986,257291.0833333333,65.16435713742543,64.31240750978796,110.8902685156052,24,0,65.6033876028221,8.306965865368573,4.198755441160007,65.6033876028221,65.62815969911223,65.54596392746147,-0.08753157033334981
RJ,330025,ARRAIAL DO CABO,437,677602,28233.416666666668,64.00370916431046,64.7260618365768,109.68253001035887,24,0,64.49213550137101,6.082218910376446,4.181930066751026,64.49213550137101,64.72572114177841,63.83055236371429,-1.0258353712642307
RJ,330070,CABO FRIO,2862,4506793,187783.04166666663,64.01833146475651,63.0258340786684,83.84496794958483,24,0,63.50413697722527,7.959625305098115,4.166729360926684,63.504136977225265,63.54080411512928,63.460380351086904,-0.06890358364220185
RJ,330100,CAMPOS DOS GOYTACAZES,6999,11044343,460180.9583333333,62.48117164515924,56.7647516226327,110.96010425460156,24,0,63.37180944126781,8.85366542803745,4.164675795678266,63.371809441267814,63.38685399209179,63.35548703289574,-0.025756576174779614
RJ,330490,SAO GONCALO,14271,22702586,945941.0833333334,62.99463187859419,60.62154623944934,84.77435856845894,24,0,62.86068027668743,9.566054854819791,4.156703839855758,62.860680276687425,62.868133603400075,62.8692558264804,0.013642152384012328
RJ,330380,PARATY,584,930993,38791.375,60.67981545224404,62.0603297533387,103.88347368653714,24,0,62.7287208389322,6.371611847231857,4.154635337556152,62.7287208389322,62.910206837679766,66.14289679681816,5.442763557465975
RJ,330600,TRES RIOS,1147,1847181,76965.875,61.84322361697736,59.70053973982269,103.69194531209996,24,0,62.09461877314676,7.045776576879511,4.144635484977844,62.094618773146756,62.1883886922657,61.943688493547725,-0.24306499110725138
