estado,cod_mun6,municipio,casos_acumulados,pop_pessoa_ano,pop_media,incidencia_media_anual,incidencia_mediana_anual,incidencia_max_anual,anos_com_casos,anos_zero,incidencia_periodo_100mil_pessoa_ano,log_casos_acumulados_mais1,log_inc_periodo_mais1,inc_raw,inc_eb_global,inc_eb_spatial,reducao_%
SP,350950,CAMPINAS,11590,25982596,1082608.1666666667,44.888907830374016,42.98917977318444,66.22874735824854,24,0,44.60678217064993,9.357984213888743,3.82005643727336,44.60678217064993,44.60742031771283,44.596678426636124,-0.022650690146513885
SP,350210,ANDRADINA,608,1367240,56968.333333333336,44.261333297282526,45.22271647139766,62.19012904451777,24,0,44.469149527515285,6.411818267709897,3.817034063626705,44.469149527515285,44.48173441850645,44.48257746012501,0.030196063456114284
SP,355280,TABOAO DA SERRA,2610,5908902,246204.25,43.91530569718456,43.06983224557885,58.74613928815157,24,0,44.170642870705926,7.867488568699128,3.810447381814647,44.170642870705926,44.17381433045964,44.56757150159782,0.898625433308186
SP,351510,EMBU-GUACU,662,1517828,63242.833333333336,43.30524928093172,44.21283036651488,62.02896752783551,24,0,43.61495505419586,6.496774990185863,3.798069117936968,43.61495505419586,43.629088598812416,50.46991513800245,15.716994492573999
SP,353910,PIRAPORA DO BOM JESUS,166,384620,16025.833333333334,42.4567396333842,39.90356246532724,111.48863877681038,24,0,43.159482086214965,5.117993812416755,3.7878076737799327,43.159482086214965,43.22054654525479,39.85603126003023,-7.65405576365767
SP,351907,HORTOLANDIA,2073,4816690,200695.41666666663,41.61431466048536,41.47941122225267,62.44993822886544,24,0,43.03785379586397,7.637234388789473,3.785049577603042,43.03785379586397,43.04291352160193,43.00470537284816,-0.07702155217367113
SP,351880,GUARULHOS,12437,29309277,1221219.875,42.142859797956,40.5680071604622,59.38913186319836,24,0,42.43366358030599,9.428511581663834,3.771234798971143,42.43366358030599,42.43459844527758,42.483097786864384,0.1164976162495149
SP,352230,ITAPETININGA,1465,3499974,145832.25,41.507810210811336,42.54267904345128,57.21576261377388,24,0,41.85745379822821,7.290292882446597,3.75787958086656,41.857453798228214,41.8660913138294,41.849102031212745,-0.019952878776928036
SP,353060,MOGI DAS CRUZES,4010,9597045,399876.875,41.82936731762292,41.78324382834559,54.23316685936327,24,0,41.78369487691264,8.296795865770052,3.7561570691839448,41.783694876912634,41.78688601338895,41.78942066728267,0.013703408439352313
SP,351660,GALIA,69,166634,6943.083333333333,44.084414913076365,15.13069994755301,388.5003885003885,14,10,41.40811599073418,4.248495242049359,3.747339758796228,41.40811599073418,41.59756239102902,38.316989909197694,-7.465024687981899
